r,id,Bottle Number,data,Full.Name,Bottle.Price,Glass.Price,Vintage,Type,Producer,Variety,Designation,Vineyard,Country,Region,SubRegion,Appelation,Price,Location,Inventory.Days,Inventory,
barcelona,1,1,,Bodegas El Coto,32,,2009,Red,Bodegas El Coto,Tempranillo,Crianza,NA,Spain,La Rioja,NA,Rioja,2,DC,9,21,
barcelona,2,2,,"Bodegas El Coto, Coto de lmaz, reserve",48,,2008,Red,Bodegas El Coto,Tempranillo,Coto de Imaz Reserva,NA,Spain,La Rioja,NA,Rioja,2,DC,57,30,
barcelona,3,3,,"Bodegas Campillo, Gran Reserva",102,,2001,Red,Bodegas El Coto,Tempranillo,Gran Reserva,NA ,Spain,La Rioja,NA,Rioja,2,DC,44,20,
barcelona,4,4,,"Ramon Bilbao, Crianza",30,,2009,Red,Bodegas Ramon Bilbao,Tempranillo Blend,Ramon Bilbao Crianza,NA,Spain,La Rioja,NA,Rioja,2,DC,9,14,
barcelona,5,5,,"R Lopez de Heredia, Vina Tondonia, Reserva",85,,2001,Red,R. Lopez de Heredia,Tempranillo Blend,Reserva,Vina Tondonia,Spain,La Rioja,La Rioja Alta,Rioja,2,DC,38,27,
barcelona,6,6,,"R. Lopez de Heredia, Vi_a Tondonia, Gran Reserva",152,,1994,Red,R. Lopez de Heredia,Tempranillo Blend,Gran Reserva,Vina Tondonia,Spain,La Rioja,La Rioja Alta,Rioja,2,DC,5,3,
barcelona,7,7,,"Finca San Martin, Crianza",35,,2010,Red,Torre de ona,Tempranillo,Finca San Martin Crianza,NA,Spain,La Rioja,La Rioja Alta,Rioja,2,DC,45,29,
barcelona,8,8,,"La Rioja Alta, Vi_a Alberdi, Reserva ",49,,2007,Red,La Rioja Alta,Tempranillo,Vina Alberdi Reserva,NA ,Spain,La Rioja,La Rioja Alta,Rioja,2,DC,69,22,
barcelona,9,9,,"La Rioja Alta, Vi_a Arana, Reserva ",189,,2005,Red,La Rioja Alta,Tempranillo Blend,Vina Arana Reserva,NA ,Spain,La Rioja,La Rioja Alta,Rioja,2,DC,86,16,
barcelona,10,10,,"La Rioja Alta, Vi_a Ardanza, Reserva ",79,,2004,Red,La Rioja Alta,Tempranillo Blend,Vina Ardanza Reserva,NA,Spain,La Rioja,La Rioja Alta,Rioja,2,DC,19,12,
barcelona,11,11,,"La Rioja Alta, 904, Gran Reserva",95,,2001,Red,La Rioja Alta,Tempranillo Blend,Gran Reserva 904,NA,Spain,La Rioja,La Rioja Alta,Rioja,2,DC,54,15,
barcelona,12,12,,"Bodegas Olarra, Cerro A_on, Reserva",44,,2008,Red,Bodegas Olarra,Tempranillo Blend,Cerro Anon Reserva,NA,Spain,La Rioja,NA,Rioja,2,DC,81,12,
barcelona,13,13,,"Bodegas Olarra, Cerro A_on, Gran Reserva",50,,2005,Red,Bodegas Olarra,Tempranillo Blend,Cerro Anon Gran Reserva,NA,Spain,La Rioja,NA ,Rioja,2,DC,78,4,
barcelona,14,14,,"C.V.N.E., Imperial, Reserva",88,,2008,Red,C.V.N.E.,Tempranillo,Imperial Reserva,NA,Spain,La Rioja,La Rioja Alta,Rioja,2,DC,94,28,
barcelona,15,15,,"C.V.N.E., Imperial,  Gran Reserva",124,,2005,Red,C.V.N.E.,Tempranillo Blend,Imperial Gran Reserva,NA,Spain,La Rioja,La Rioja Alta,Rioja,2,DC,32,12,
barcelona,16,16,,"C.V.N.E., Vina Real,  Gran Reserva",97,,2006,Red,C.V.N.E.,Tempranillo,Vina Real Gran Reserva,NA,Spain,La Rioja,La Rioja Alta,Rioja,2,DC,59,22,
barcelona,17,17,,"Solar de Randez, Reserva",75,,1997,Red,Solar de Randez,Tempranillo Blend,Reserva,NA,Spain,La Rioja,NA,Rioja,2,DC,25,20,
barcelona,18,18,,"Solar de Randez, Reserva",79,,2001,Red,Solar de Randez,Tempranillo Blend,Reserva,NA,Spain,La Rioja,NA,Rioja,2,DC,48,16,
barcelona,19,19,,"Bodegas Muga, Prado Enea",104,,2005,Red,Bodegas Muga,Tempranillo Blend,Gran Reserva,Prado Enea,Spain,La Rioja,La Rioja Alta,Rioja,2,DC,90,14,
barcelona,20,20,,"Ermita de San Felices, Reserva",49,,2007,Red,Bodegas Santalba,Tempranillo,Ermita de San Felices Reserva,NA,Spain,La Rioja,NA,Rioja,2,DC,92,10,
barcelona,21,21,,"Murua, VS",30,,2010,Red,Bodegas Mura,Tempranillo Blend,VS,NA,Spain,La Rioja,NA,Rioja,2,DC,73,1,
barcelona,22,22,,"Abando, Crianza",54,,2008,Red,Bodegas Santalba,Tempranillo,Abando Crianza,NA,Spain,La Rioja,La Rioja Alta,Rioja,2,DC,24,20,
barcelona,23,23,,"Bodegas Marqu_s de Murrieta, Reserva",59,,2007,Red,Marques de Murrieta,Tempranillo,Reserva,NA,Spain,La Rioja,NA,Rioja,2,DC,96,2,
barcelona,24,24,,"Bodegas Marqu_s de Murrieta, Castillo Ygay, Gran Reserva Especia",115,,2005,Red,Marques de Murrieta,Tempranillo Blend,Castillo Ygay Gran Reserva Especial,NA,Spain,La Rioja,NA,Rioja,2,DC,93,26,
barcelona,25,25,,"Luberri, Biga",45,,2008,Red,Bodegas Luberri,Tempranillo,Biga Crianza,NA,Spain,La Rioja,La Rioja Alavesa,Rioja,2,DC,23,16,
barcelona,26,26,,"Onta__n, Ecol_gico",29,,2010,Red,Ontanon,Tempranillo Blend,Ecologico,NA,Spain,La Rioja,NA,Rioja,2,DC,4,11,
barcelona,27,27,,"Palacios Remondo, La Vendimia",34,,2012,Red,Palacios Remondo,Grenache Blend,La Vendimia,NA,Spain,La Rioja,NA,Rioja,2,DC,72,25,
barcelona,28,28,,"Palacios Remondo, La Montesa, Crianza",42,,2009,Red,Palacios Remondo,Grenache Blend,La Montesa crianza,NA,Spain,La Rioja,NA,Rioja,2,DC,54,16,
barcelona,29,29,,Bodegas Remelluri,76,,2008,Red,Bodegas Telmo Rodriguez,Tempranillo Blend,Remelluri,NA,Spain,La Rioja,NA,Rioja,2,DC,2,15,
barcelona,30,30,1,"Valserrano, Monovarietal",66,,2009,Red,,,,,,,,,2,DC,82,25,
barcelona,31,31,1,"Valserrano, Monovarietal",66,,2005,Red,,,,,,,,,2,DC,99,2,
barcelona,32,32,,"Torre de O_a, Reserva",70,,2007,Red,Torre de Ona,Tempranillo,Reserva,NA,Spain,La Rioja,La Rioja Alta,Rioja,2,DC,98,28,
barcelona,33,33,,"Ostatu, Crianza",45,,2010,Red,Bodegas Ostatu,Tempranillo Blend,Crianza,NA,Spain,La Rioja,NA,Rioja,2,DC,63,8,
barcelona,34,34,,"Marqu_s de Vargas, Reserva",59,,2007,Red,Bodegas del Marques de Vargas,Tempranillo Blend,Reserva,NA,Spain,La Rioja,NA,Rioja,2,DC,22,9,
barcelona,35,35,,"Marqu_s de Vargas, Privada, Reserva",95,,2005,Red,Bodegas del Marques de Vargas,Tempranillo Blend,Privada Reserva,NA,Spain,La Rioja,NA,Rioja,2,DC,77,15,
